
🚲骑行视频(备用线路),#genre# 
天边-布仁巴雅尔,http://wu.5yi.fun:5244/d/%E6%96%B0%E6%B1%9F%E5%8D%97/%E7%BB%8F%E5%85%B8%E8%80%81%E6%AD%8C%E5%8D%A1%E6%8B%89OK/%E5%A4%A9%E8%BE%B9-%E5%B8%83%E4%BB%81%E5%B7%B4%E9%9B%85%E5%B0%94.mp4

2002年的第一场雪-刀郎 ,http://wu.5yi.fun:5244/d/%E6%96%B0%E6%B1%9F%E5%8D%97/%E7%BB%8F%E5%85%B8%E8%80%81%E6%AD%8C%E5%8D%A1%E6%8B%89OK/2002%E5%B9%B4%E7%9A%84%E7%AC%AC%E4%B8%80%E5%9C%BA%E9%9B%AA-%E5%88%80%E9%83%8E%20.avi

一万个理由-郑源,http://wu.5yi.fun:5244/d/%E6%96%B0%E6%B1%9F%E5%8D%97/%E7%BB%8F%E5%85%B8%E8%80%81%E6%AD%8C%E5%8D%A1%E6%8B%89OK/%E4%B8%80%E4%B8%87%E4%B8%AA%E7%90%86%E7%94%B1-%E9%83%91%E6%BA%90.avi

一千个伤心的理由-张学友,http://wu.5yi.fun:5244/d/%E6%96%B0%E6%B1%9F%E5%8D%97/%E7%BB%8F%E5%85%B8%E8%80%81%E6%AD%8C%E5%8D%A1%E6%8B%89OK/%E4%B8%80%E5%8D%83%E4%B8%AA%E4%BC%A4%E5%BF%83%E7%9A%84%E7%90%86%E7%94%B1-%E5%BC%A0%E5%AD%A6%E5%8F%8B.mp4

一千零一夜-邰正宵,http://wu.5yi.fun:5244/d/%E6%96%B0%E6%B1%9F%E5%8D%97/%E7%BB%8F%E5%85%B8%E8%80%81%E6%AD%8C%E5%8D%A1%E6%8B%89OK/%E4%B8%80%E5%8D%83%E9%9B%B6%E4%B8%80%E5%A4%9C-%E9%82%B0%E6%AD%A3%E5%AE%B5.mp4

一场游戏一场梦-王杰,http://wu.5yi.fun:5244/d/%E6%96%B0%E6%B1%9F%E5%8D%97/%E7%BB%8F%E5%85%B8%E8%80%81%E6%AD%8C%E5%8D%A1%E6%8B%89OK/%E4%B8%80%E5%9C%BA%E6%B8%B8%E6%88%8F%E4%B8%80%E5%9C%BA%E6%A2%A6-%E7%8E%8B%E6%9D%B0.mp4

一天到晚游泳的鱼 - 张雨生,http://wu.5yi.fun:5244/d/%E6%96%B0%E6%B1%9F%E5%8D%97/%E7%BB%8F%E5%85%B8%E8%80%81%E6%AD%8C%E5%8D%A1%E6%8B%89OK/%E4%B8%80%E5%A4%A9%E5%88%B0%E6%99%9A%E6%B8%B8%E6%B3%B3%E7%9A%84%E9%B1%BC%20-%20%E5%BC%A0%E9%9B%A8%E7%94%9F.mkv

一帘幽梦 - 许茹芸,http://wu.5yi.fun:5244/d/%E6%96%B0%E6%B1%9F%E5%8D%97/%E7%BB%8F%E5%85%B8%E8%80%81%E6%AD%8C%E5%8D%A1%E6%8B%89OK/%E4%B8%80%E5%B8%98%E5%B9%BD%E6%A2%A6%20-%20%E8%AE%B8%E8%8C%B9%E8%8A%B8.mkv

一样的月光 - 苏芮,http://wu.5yi.fun:5244/d/%E6%96%B0%E6%B1%9F%E5%8D%97/%E7%BB%8F%E5%85%B8%E8%80%81%E6%AD%8C%E5%8D%A1%E6%8B%89OK/%E4%B8%80%E6%A0%B7%E7%9A%84%E6%9C%88%E5%85%89%20-%20%E8%8B%8F%E8%8A%AE.mkv

一生爱你千百回-梅艳芳,http://wu.5yi.fun:5244/d/%E6%96%B0%E6%B1%9F%E5%8D%97/%E7%BB%8F%E5%85%B8%E8%80%81%E6%AD%8C%E5%8D%A1%E6%8B%89OK/%E4%B8%80%E7%94%9F%E7%88%B1%E4%BD%A0%E5%8D%83%E7%99%BE%E5%9B%9E-%E6%A2%85%E8%89%B3%E8%8A%B3.mp4

一起走过的日子-刘德华,http://wu.5yi.fun:5244/d/%E6%96%B0%E6%B1%9F%E5%8D%97/%E7%BB%8F%E5%85%B8%E8%80%81%E6%AD%8C%E5%8D%A1%E6%8B%89OK/%E4%B8%80%E8%B5%B7%E8%B5%B0%E8%BF%87%E7%9A%84%E6%97%A5%E5%AD%90-%E5%88%98%E5%BE%B7%E5%8D%8E.mp4

一路等候-谢东,http://wu.5yi.fun:5244/d/%E6%96%B0%E6%B1%9F%E5%8D%97/%E7%BB%8F%E5%85%B8%E8%80%81%E6%AD%8C%E5%8D%A1%E6%8B%89OK/%E4%B8%80%E8%B7%AF%E7%AD%89%E5%80%99-%E8%B0%A2%E4%B8%9C.avi

丁香花 - 唐磊,http://wu.5yi.fun:5244/d/%E6%96%B0%E6%B1%9F%E5%8D%97/%E7%BB%8F%E5%85%B8%E8%80%81%E6%AD%8C%E5%8D%A1%E6%8B%89OK/%E4%B8%81%E9%A6%99%E8%8A%B1%20-%20%E5%94%90%E7%A3%8A.mkv

万水千山总是情- 汪明,http://wu.5yi.fun:5244/d/%E6%96%B0%E6%B1%9F%E5%8D%97/%E7%BB%8F%E5%85%B8%E8%80%81%E6%AD%8C%E5%8D%A1%E6%8B%89OK/%E4%B8%87%E6%B0%B4%E5%8D%83%E5%B1%B1%E6%80%BB%E6%98%AF%E6%83%85-%20%E6%B1%AA%E6%98%8E.mp4

三月里的小雨 - 刘文正,http://wu.5yi.fun:5244/d/%E6%96%B0%E6%B1%9F%E5%8D%97/%E7%BB%8F%E5%85%B8%E8%80%81%E6%AD%8C%E5%8D%A1%E6%8B%89OK/%E4%B8%89%E6%9C%88%E9%87%8C%E7%9A%84%E5%B0%8F%E9%9B%A8%20-%20%E5%88%98%E6%96%87%E6%AD%A3.mkv

上海滩 - 叶丽仪,http://wu.5yi.fun:5244/d/%E6%96%B0%E6%B1%9F%E5%8D%97/%E7%BB%8F%E5%85%B8%E8%80%81%E6%AD%8C%E5%8D%A1%E6%8B%89OK/%E4%B8%8A%E6%B5%B7%E6%BB%A9%20-%20%E5%8F%B6%E4%B8%BD%E4%BB%AA.mkv

不了情 - 徐小凤,http://wu.5yi.fun:5244/d/%E6%96%B0%E6%B1%9F%E5%8D%97/%E7%BB%8F%E5%85%B8%E8%80%81%E6%AD%8C%E5%8D%A1%E6%8B%89OK/%E4%B8%8D%E4%BA%86%E6%83%85%20-%20%E5%BE%90%E5%B0%8F%E5%87%A4.mkv

不是我不小心 - 张镐哲,http://wu.5yi.fun:5244/d/%E6%96%B0%E6%B1%9F%E5%8D%97/%E7%BB%8F%E5%85%B8%E8%80%81%E6%AD%8C%E5%8D%A1%E6%8B%89OK/%E4%B8%8D%E6%98%AF%E6%88%91%E4%B8%8D%E5%B0%8F%E5%BF%83%20-%20%E5%BC%A0%E9%95%90%E5%93%B2.mkv

东方之珠 - 罗大佑,http://wu.5yi.fun:5244/d/%E6%96%B0%E6%B1%9F%E5%8D%97/%E7%BB%8F%E5%85%B8%E8%80%81%E6%AD%8C%E5%8D%A1%E6%8B%89OK/%E4%B8%9C%E6%96%B9%E4%B9%8B%E7%8F%A0%20-%20%E7%BD%97%E5%A4%A7%E4%BD%91.mkv

两只蝴蝶-庞龙hhttp://wu.5yi.fun:5244/d/%E6%96%B0%E6%B1%9F%E5%8D%97/%E7%BB%8F%E5%85%B8%E8%80%81%E6%AD%8C%E5%8D%A1%E6%8B%89OK/%E4%B8%A4%E5%8F%AA%E8%9D%B4%E8%9D%B6-%E5%BA%9E%E9%BE%99.avi

为爱痴狂-刘若英，http://wu.5yi.fun:5244/d/%E6%96%B0%E6%B1%9F%E5%8D%97/%E7%BB%8F%E5%85%B8%E8%80%81%E6%AD%8C%E5%8D%A1%E6%8B%89OK/%E4%B8%BA%E7%88%B1%E7%97%B4%E7%8B%82-%E5%88%98%E8%8B%A5%E8%8B%B1.mp4

九妹 - 黄鹤翔,http://wu.5yi.fun:5244/d/%E6%96%B0%E6%B1%9F%E5%8D%97/%E7%BB%8F%E5%85%B8%E8%80%81%E6%AD%8C%E5%8D%A1%E6%8B%89OK/%E4%B9%9D%E5%A6%B9%20-%20%E9%BB%84%E9%B9%A4%E7%BF%94.mkv 

九百九十九朵玫瑰 - 邰正宵,http://wu.5yi.fun:5244/d/%E6%96%B0%E6%B1%9F%E5%8D%97/%E7%BB%8F%E5%85%B8%E8%80%81%E6%AD%8C%E5%8D%A1%E6%8B%89OK/%E4%B9%9D%E7%99%BE%E4%B9%9D%E5%8D%81%E4%B9%9D%E6%9C%B5%E7%8E%AB%E7%91%B0%20-%20%E9%82%B0%E6%AD%A3%E5%AE%B5.mkv

乡间的小路 - 叶佳修,http://wu.5yi.fun:5244/d/%E6%96%B0%E6%B1%9F%E5%8D%97/%E7%BB%8F%E5%85%B8%E8%80%81%E6%AD%8C%E5%8D%A1%E6%8B%89OK/%E4%B9%A1%E9%97%B4%E7%9A%84%E5%B0%8F%E8%B7%AF%20-%20%E5%8F%B6%E4%BD%B3%E4%BF%AE.mkv

亲亲我的宝贝 - 周华健,http://wu.5yi.fun:5244/d/%E6%96%B0%E6%B1%9F%E5%8D%97/%E7%BB%8F%E5%85%B8%E8%80%81%E6%AD%8C%E5%8D%A1%E6%8B%89OK/%E4%BA%B2%E4%BA%B2%E6%88%91%E7%9A%84%E5%AE%9D%E8%B4%9D%20-%20%E5%91%A8%E5%8D%8E%E5%81%A5.mkv

今天你要嫁给我-陶喆 蔡依林,http://wu.5yi.fun:5244/d/%E6%96%B0%E6%B1%9F%E5%8D%97/%E7%BB%8F%E5%85%B8%E8%80%81%E6%AD%8C%E5%8D%A1%E6%8B%89OK/%E4%BB%8A%E5%A4%A9%E4%BD%A0%E8%A6%81%E5%AB%81%E7%BB%99%E6%88%91-%E9%99%B6%E5%96%86%20%E8%94%A1%E4%BE%9D%E6%9E%97.avi

今天是你的生日-祖海,http://wu.5yi.fun:5244/d/%E6%96%B0%E6%B1%9F%E5%8D%97/%E7%BB%8F%E5%85%B8%E8%80%81%E6%AD%8C%E5%8D%A1%E6%8B%89OK/%E4%BB%8A%E5%A4%A9%E6%98%AF%E4%BD%A0%E7%9A%84%E7%94%9F%E6%97%A5-%E7%A5%96%E6%B5%B7.avi

今宵多珍重 - 陈百强,http://wu.5yi.fun:5244/d/%E6%96%B0%E6%B1%9F%E5%8D%97/%E7%BB%8F%E5%85%B8%E8%80%81%E6%AD%8C%E5%8D%A1%E6%8B%89OK/%E4%BB%8A%E5%AE%B5%E5%A4%9A%E7%8F%8D%E9%87%8D%20-%20%E9%99%88%E7%99%BE%E5%BC%BA.mkv

从头再来 - 刘欢,http://wu.5yi.fun:5244/d/%E6%96%B0%E6%B1%9F%E5%8D%97/%E7%BB%8F%E5%85%B8%E8%80%81%E6%AD%8C%E5%8D%A1%E6%8B%89OK/%E4%BB%8E%E5%A4%B4%E5%86%8D%E6%9D%A5%20-%20%E5%88%98%E6%AC%A2.mkv 

伤心太平洋,http://wu.5yi.fun:5244/d/%E6%96%B0%E6%B1%9F%E5%8D%97/%E7%BB%8F%E5%85%B8%E8%80%81%E6%AD%8C%E5%8D%A1%E6%8B%89OK/%E4%BC%A4%E5%BF%83%E5%A4%AA%E5%B9%B3%E6%B4%8B%20-%20%E4%BB%BB%E8%B4%A4%E9%BD%90.mkv

你在我心中 - 邓丽君,http://wu.5yi.fun:5244/d/%E6%96%B0%E6%B1%9F%E5%8D%97/%E7%BB%8F%E5%85%B8%E8%80%81%E6%AD%8C%E5%8D%A1%E6%8B%89OK/%E4%BD%A0%E5%9C%A8%E6%88%91%E5%BF%83%E4%B8%AD%20-%20%E9%82%93%E4%B8%BD%E5%90%9B.mkv

你快回来 - 孙楠,http://wu.5yi.fun:5244/d/%E6%96%B0%E6%B1%9F%E5%8D%97/%E7%BB%8F%E5%85%B8%E8%80%81%E6%AD%8C%E5%8D%A1%E6%8B%89OK/%E4%BD%A0%E5%BF%AB%E5%9B%9E%E6%9D%A5%20-%20%E5%AD%99%E6%A5%A0.mkv

你怎么舍得我难过-黄品源,http://wu.5yi.fun:5244/d/%E6%96%B0%E6%B1%9F%E5%8D%97/%E7%BB%8F%E5%85%B8%E8%80%81%E6%AD%8C%E5%8D%A1%E6%8B%89OK/%E4%BD%A0%E6%80%8E%E4%B9%88%E8%88%8D%E5%BE%97%E6%88%91%E9%9A%BE%E8%BF%87-%E9%BB%84%E5%93%81%E6%BA%90%20.mp4

你的柔情我永远不懂 - 陈琳,http://wu.5yi.fun:5244/d/%E6%96%B0%E6%B1%9F%E5%8D%97/%E7%BB%8F%E5%85%B8%E8%80%81%E6%AD%8C%E5%8D%A1%E6%8B%89OK/%E4%BD%A0%E7%9A%84%E6%9F%94%E6%83%85%E6%88%91%E6%B0%B8%E8%BF%9C%E4%B8%8D%E6%87%82%20-%20%E9%99%88%E7%90%B3.mkv 

你的眼神-蔡琴,http://wu.5yi.fun:5244/d/%E6%96%B0%E6%B1%9F%E5%8D%97/%E7%BB%8F%E5%85%B8%E8%80%81%E6%AD%8C%E5%8D%A1%E6%8B%89OK/%E4%BD%A0%E7%9A%84%E7%9C%BC%E7%A5%9E-%E8%94%A1%E7%90%B4%20.avi

你知道我在等你吗-张洪量,http://wu.5yi.fun:5244/d/%E6%96%B0%E6%B1%9F%E5%8D%97/%E7%BB%8F%E5%85%B8%E8%80%81%E6%AD%8C%E5%8D%A1%E6%8B%89OK/%E4%BD%A0%E7%9F%A5%E9%81%93%E6%88%91%E5%9C%A8%E7%AD%89%E4%BD%A0%E5%90%97-%E5%BC%A0%E6%B4%AA%E9%87%8F.mp4 

你究竟有几个好妹妹-孟庭苇,http://wu.5yi.fun:5244/d/%E6%96%B0%E6%B1%9F%E5%8D%97/%E7%BB%8F%E5%85%B8%E8%80%81%E6%AD%8C%E5%8D%A1%E6%8B%89OK/%E4%BD%A0%E7%A9%B6%E7%AB%9F%E6%9C%89%E5%87%A0%E4%B8%AA%E5%A5%BD%E5%A6%B9%E5%A6%B9-%E5%AD%9F%E5%BA%AD%E8%8B%87.mp4 

兰花草 - 刘文正,http://wu.5yi.fun:5244/d/%E6%96%B0%E6%B1%9F%E5%8D%97/%E7%BB%8F%E5%85%B8%E8%80%81%E6%AD%8C%E5%8D%A1%E6%8B%89OK/%E5%85%B0%E8%8A%B1%E8%8D%89%20-%20%E5%88%98%E6%96%87%E6%AD%A3.mkv 

其实你不懂我的心 - 童安格,http://wu.5yi.fun:5244/d/%E6%96%B0%E6%B1%9F%E5%8D%97/%E7%BB%8F%E5%85%B8%E8%80%81%E6%AD%8C%E5%8D%A1%E6%8B%89OK/%E5%85%B6%E5%AE%9E%E4%BD%A0%E4%B8%8D%E6%87%82%E6%88%91%E7%9A%84%E5%BF%83%20-%20%E7%AB%A5%E5%AE%89%E6%A0%BC.mkv
流星雨,http://wu.5yi.fun:66/api/public/dl/hDbOevfH 

再回首 - 姜育恒,http://wu.5yi.fun:5244/d/%E6%96%B0%E6%B1%9F%E5%8D%97/%E7%BB%8F%E5%85%B8%E8%80%81%E6%AD%8C%E5%8D%A1%E6%8B%89OK/%E5%86%8D%E5%9B%9E%E9%A6%96%20-%20%E5%A7%9C%E8%82%B2%E6%81%92.mkv 

冬天里的一把火 - 费翔,http://wu.5yi.fun:5244/d/%E6%96%B0%E6%B1%9F%E5%8D%97/%E7%BB%8F%E5%85%B8%E8%80%81%E6%AD%8C%E5%8D%A1%E6%8B%89OK/%E5%86%AC%E5%A4%A9%E9%87%8C%E7%9A%84%E4%B8%80%E6%8A%8A%E7%81%AB%20-%20%E8%B4%B9%E7%BF%94.mkv

冲动的惩罚-刀郎,http://wu.5yi.fun:5244/d/%E6%96%B0%E6%B1%9F%E5%8D%97/%E7%BB%8F%E5%85%B8%E8%80%81%E6%AD%8C%E5%8D%A1%E6%8B%89OK/%E5%86%B2%E5%8A%A8%E7%9A%84%E6%83%A9%E7%BD%9A-%E5%88%80%E9%83%8E%20.avi 

别问我是谁-王馨平,http://wu.5yi.fun:5244/d/%E6%96%B0%E6%B1%9F%E5%8D%97/%E7%BB%8F%E5%85%B8%E8%80%81%E6%AD%8C%E5%8D%A1%E6%8B%89OK/%E5%88%AB%E9%97%AE%E6%88%91%E6%98%AF%E8%B0%81-%E7%8E%8B%E9%A6%A8%E5%B9%B3.mp4

加州旅馆,http://wu.5yi.fun:5244/d/%E6%96%B0%E6%B1%9F%E5%8D%97/%E7%BB%8F%E5%85%B8%E8%80%81%E6%AD%8C%E5%8D%A1%E6%8B%89OK/%E5%8A%A0%E5%B7%9E%E6%97%85%E9%A6%86.avi 

千千阙歌-陈慧娴,http://wu.5yi.fun:5244/d/%E6%96%B0%E6%B1%9F%E5%8D%97/%E7%BB%8F%E5%85%B8%E8%80%81%E6%AD%8C%E5%8D%A1%E6%8B%89OK/%E5%8D%83%E5%8D%83%E9%98%99%E6%AD%8C-%E9%99%88%E6%85%A7%E5%A8%B4.mp4

千古绝唱 - 白雪,http://wu.5yi.fun:5244/d/%E6%96%B0%E6%B1%9F%E5%8D%97/%E7%BB%8F%E5%85%B8%E8%80%81%E6%AD%8C%E5%8D%A1%E6%8B%89OK/%E5%8D%83%E5%8F%A4%E7%BB%9D%E5%94%B1%20-%20%E7%99%BD%E9%9B%AA.mkv
千年等一回 - 高胜美,http://wu.5yi.fun:5244/d/%E6%96%B0%E6%B1%9F%E5%8D%97/%E7%BB%8F%E5%85%B8%E8%80%81%E6%AD%8C%E5%8D%A1%E6%8B%89OK/%E5%8D%83%E5%B9%B4%E7%AD%89%E4%B8%80%E5%9B%9E%20-%20%E9%AB%98%E8%83%9C%E7%BE%8E.mkv

千纸鹤 - 邰正宵,http://wu.5yi.fun:5244/d/%E6%96%B0%E6%B1%9F%E5%8D%97/%E7%BB%8F%E5%85%B8%E8%80%81%E6%AD%8C%E5%8D%A1%E6%8B%89OK/%E5%8D%83%E7%BA%B8%E9%B9%A4%20-%20%E9%82%B0%E6%AD%A3%E5%AE%B5.mkv

千言万语 - 邓丽君,http://wu.5yi.fun:5244/d/%E6%96%B0%E6%B1%9F%E5%8D%97/%E7%BB%8F%E5%85%B8%E8%80%81%E6%AD%8C%E5%8D%A1%E6%8B%89OK/%E5%8D%83%E8%A8%80%E4%B8%87%E8%AF%AD%20-%20%E9%82%93%E4%B8%BD%E5%90%9B.mkv 

南海姑娘 - 邓丽君,http://wu.5yi.fun:5244/d/%E6%96%B0%E6%B1%9F%E5%8D%97/%E7%BB%8F%E5%85%B8%E8%80%81%E6%AD%8C%E5%8D%A1%E6%8B%89OK/%E5%8D%97%E6%B5%B7%E5%A7%91%E5%A8%98%20-%20%E9%82%93%E4%B8%BD%E5%90%9B.mkv

卡拉永远OK - 谭咏麟,http://wu.5yi.fun:5244/d/%E6%96%B0%E6%B1%9F%E5%8D%97/%E7%BB%8F%E5%85%B8%E8%80%81%E6%AD%8C%E5%8D%A1%E6%8B%89OK/%E5%8D%A1%E6%8B%89%E6%B0%B8%E8%BF%9COK%20-%20%E8%B0%AD%E5%92%8F%E9%BA%9F.mkv 

卡萨布兰卡,http://wu.5yi.fun:5244/d/%E6%96%B0%E6%B1%9F%E5%8D%97/%E7%BB%8F%E5%85%B8%E8%80%81%E6%AD%8C%E5%8D%A1%E6%8B%89OK/%E5%8D%A1%E8%90%A8%E5%B8%83%E5%85%B0%E5%8D%A1.avi 

又见炊烟 - 邓丽君,http://wu.5yi.fun:5244/d/%E6%96%B0%E6%B1%9F%E5%8D%97/%E7%BB%8F%E5%85%B8%E8%80%81%E6%AD%8C%E5%8D%A1%E6%8B%89OK/%E5%8F%88%E8%A7%81%E7%82%8A%E7%83%9F%20-%20%E9%82%93%E4%B8%BD%E5%90%9B.mkv

